,state_name,county,city,hour_of_crash,day_of_crash,month_of_crash,light_condition_name,atmospheric_conditions_1_name,number_of_fatalities,number_of_drunk_drivers,timestamp_of_crash,national_highway_system,latitude,longitude
29451,California,85,1420,19,1,4,Dark – Lighted,Clear,1,1,2015-04-01 19:27:00+00:00,0,37.01747222,-121.56338889
29452,California,107,4050,22,9,10,Dark – Lighted,Clear,1,1,2015-10-09 22:55:00+00:00,0,36.34186111,-119.2814
29453,California,29,240,2,26,6,Dark – Lighted,Clear,1,0,2015-06-26 02:40:00+00:00,0,35.41279167,-118.96752222
29454,North Carolina,119,870,18,12,9,Daylight,Clear,2,0,2015-09-12 18:34:00+00:00,0,35.22470833,-80.89983056
29455,North Carolina,67,5120,1,10,5,Dark – Lighted,Clear,1,1,2015-05-10 01:43:00+00:00,0,36.06544722,-80.20614167
29456,North Carolina,57,4590,5,25,7,Dark – Lighted,Clear,1,0,2015-07-25 05:45:00+00:00,0,35.88813611,-80.10515
29457,North Carolina,119,870,13,12,12,Daylight,Clear,1,0,2015-12-12 13:55:00+00:00,0,35.21395833,-80.83725556
29458,North Carolina,35,2150,4,9,8,Dark – Not Lighted,Clear,1,0,2015-08-09 04:07:00+00:00,0,35.73994722,-81.36745833
29459,North Carolina,81,1940,3,16,9,Dark – Lighted,Clear,1,0,2015-09-16 03:00:00+00:00,0,36.03940556,-79.80040556
29460,North Carolina,93,0,19,15,5,Daylight,Clear,1,1,2015-05-15 19:27:00+00:00,0,34.95855278,-79.06845556
29461,North Carolina,35,2150,18,14,5,Daylight,Clear,1,0,2015-05-14 18:22:00+00:00,0,35.72397778,-81.36897222
29462,North Carolina,129,5060,23,6,4,Dark – Lighted,Clear,1,1,2015-04-06 23:28:00+00:00,0,34.19827778,-77.89493889
29463,North Carolina,67,5120,21,17,1,Dark – Lighted,Clear,1,1,2015-01-17 21:04:00+00:00,0,36.11776944,-80.29925
29464,North Carolina,51,1670,22,31,3,Dark – Lighted,Clear,1,1,2015-03-31 22:53:00+00:00,0,35.103175,-78.95910833
29465,Florida,133,0,15,2,9,Daylight,Clear,1,1,2015-09-02 15:55:00+00:00,0,30.61786389,-85.48509167
29466,Florida,57,0,6,27,9,Dawn,Clear,1,0,2015-09-27 06:53:00+00:00,0,28.07565278,-82.09711667
29467,Maine,17,7100,16,6,3,Daylight,Clear,1,1,2015-03-06 16:46:00+00:00,0,44.54650556,-70.54661111
29468,California,65,3070,2,16,2,Dark – Lighted,Clear,1,0,2015-02-16 02:49:00+00:00,0,33.90152778,-117.46355278
29469,California,71,680,18,20,2,Dark – Lighted,Clear,1,0,2015-02-20 18:38:00+00:00,0,33.966225,-117.61110833
29470,Texas,215,4197,4,27,6,Dark – Lighted,Clear,1,0,2015-06-27 04:52:00+00:00,1,26.27037222,-98.23591944
29471,Texas,29,6090,0,30,3,Dark – Lighted,Clear,1,0,2015-03-30 00:47:00+00:00,0,29.4734,-98.47341389
29472,California,85,3340,6,4,9,Dawn,Clear,1,0,2015-09-04 06:42:00+00:00,0,37.40342222,-121.89112222
29473,California,99,2200,2,5,7,Dark – Not Lighted,Clear,1,1,2015-07-05 02:45:00+00:00,0,37.61135556,-120.95704722
29474,California,67,2934,10,14,8,Daylight,Clear,1,0,2015-08-14 10:43:00+00:00,0,38.59084167,-121.25514722
29475,Texas,479,3899,7,29,8,Daylight,Clear,2,0,2015-08-29 07:30:00+00:00,0,27.56136944,-99.47074722
29476,Texas,113,3420,4,2,10,Dark – Lighted,Clear,1,0,2015-10-02 04:10:00+00:00,1,32.894375,-96.95956667
29477,Michigan,163,1260,2,27,9,Dark – Lighted,Clear,1,1,2015-09-27 02:30:00+00:00,1,42.39476944,-83.17878333
29478,Michigan,163,1260,4,21,8,Unknown,Clear,1,1,2015-08-21 04:57:00+00:00,0,42.38843611,-83.13969722
29479,Idaho,1,1070,2,5,9,Dark – Lighted,Clear,1,1,2015-09-05 02:24:00+00:00,0,43.60468333,-116.43036667
29480,Washington,33,1960,14,16,9,Daylight,Clear,1,0,2015-09-16 14:50:00+00:00,0,47.58981944,-122.32900278
29481,Oklahoma,109,3550,15,8,10,Daylight,Clear,1,0,2015-10-08 15:11:00+00:00,0,35.38444722,-97.49222222
29482,Arizona,13,370,10,6,9,Daylight,Clear,1,1,2015-09-06 10:04:00+00:00,1,33.66716389,-112.03018333
29483,Georgia,31,5170,15,4,7,Daylight,Clear,1,0,2015-07-04 15:12:00+00:00,0,32.47311111,-81.7807
29484,Georgia,131,850,10,31,10,Daylight,Clear,1,0,2015-10-31 10:36:00+00:00,0,30.87529722,-84.20143889
29485,Florida,86,0,4,10,5,Dark – Lighted,Clear,1,1,2015-05-10 04:55:00+00:00,0,25.69685,-80.39845278
29486,Florida,127,780,10,3,2,Daylight,Clear,1,0,2015-02-03 10:48:00+00:00,0,29.22941667,-81.01610833
29487,Florida,31,1510,19,2,8,Dusk,Clear,1,1,2015-08-02 19:27:00+00:00,0,30.38256389,-81.73778333
29488,Kansas,173,0,12,11,3,Daylight,Clear,2,0,2015-03-11 12:53:00+00:00,0,37.65421389,-97.26370278
29489,California,89,2950,5,29,9,Dawn,Clear,1,1,2015-09-29 05:51:00+00:00,0,40.53930278,-122.38522778
29490,Illinois,163,2610,15,31,7,Daylight,Clear,1,0,2015-07-31 15:08:00+00:00,0,38.60041389,-90.0779
29491,California,85,3340,5,7,7,Dawn,Clear,1,0,2015-07-07 05:52:00+00:00,0,37.31119167,-121.97725
29492,New York,81,4170,19,23,9,Dark – Lighted,Clear,1,1,2015-09-23 19:05:00+00:00,0,40.69393056,-73.88458611
29493,Pennsylvania,71,1320,5,16,2,Dark – Not Lighted,Clear,1,1,2015-02-16 05:48:00+00:00,0,39.95561111,-75.99258333
29494,Iowa,153,2260,8,23,11,Daylight,Clear,1,1,2015-11-23 08:42:00+00:00,0,41.58866667,-93.66418333
29495,Georgia,121,280,2,28,6,Dark – Not Lighted,Clear,1,1,2015-06-28 02:07:00+00:00,0,33.73086111,-84.48318889
29496,Illinois,31,6730,0,10,6,Dark – Lighted,Clear,2,1,2015-06-10 00:30:00+00:00,0,41.49303889,-87.67369444
29497,Pennsylvania,101,6540,3,18,8,Dark – Not Lighted,Clear,1,0,2015-08-18 03:53:00+00:00,0,40.04798889,-75.24714167
29498,Missouri,95,4120,2,12,2,Dark – Lighted,Clear,1,1,2015-02-12 02:46:00+00:00,0,38.97581944,-94.50294722
29499,Illinois,11,8230,13,13,7,Daylight,Clear,1,0,2015-07-13 13:56:00+00:00,0,41.33114167,-89.19821111
29500,Oregon,39,1960,0,25,5,Dark – Lighted,Clear,1,1,2015-05-25 00:42:00+00:00,0,44.04853333,-123.02329444
29501,Connecticut,9,265,3,1,8,Dark – Not Lighted,Clear,1,1,2015-08-01 03:13:00+00:00,0,41.31724167,-72.68856389
29502,New Jersey,23,2417,11,31,5,Daylight,Clear,1,1,2015-05-31 11:23:00+00:00,0,40.37454444,-74.30108056
29503,Texas,277,5220,10,4,2,Daylight,Clear,1,0,2015-02-04 10:31:00+00:00,0,33.65774167,-95.55884167
29504,Michigan,17,320,21,5,7,Dusk,Clear,1,1,2015-07-05 21:48:00+00:00,0,43.58008056,-83.88565
29505,Texas,113,1730,4,11,10,Dark – Lighted,Clear,1,1,2015-10-11 04:28:00+00:00,0,32.81104444,-96.70245
29506,Ohio,61,1610,22,12,8,Dark – Lighted,Clear,1,1,2015-08-12 22:54:00+00:00,0,39.17974444,-84.455325
29507,Texas,29,6090,8,4,10,Daylight,Clear,1,0,2015-10-04 08:59:00+00:00,0,29.36286111,-98.52301944
29508,Texas,113,1730,23,27,9,Dark – Lighted,Clear,1,0,2015-09-27 23:53:00+00:00,0,32.77020556,-96.74450833
29509,Arizona,13,290,3,16,8,Dark – Lighted,Clear,1,1,2015-08-16 03:18:00+00:00,0,33.38875556,-111.69393611
29510,New York,85,4170,3,17,2,Dark – Lighted,Snow,1,0,2015-02-17 03:28:00+00:00,0,40.63159722,-74.14994722
29511,New Jersey,39,1700,18,22,1,Dark – Lighted,Clear,1,0,2015-01-22 18:59:00+00:00,0,40.60931944,-74.24880278
29512,California,47,1990,7,3,10,Dawn,Clear,1,0,2015-10-03 07:10:00+00:00,0,37.10037778,-120.96869444
29513,California,77,1940,13,18,7,Daylight,Clear,1,0,2015-07-18 13:15:00+00:00,0,38.12304167,-121.26041667
29514,California,13,2790,22,23,10,Dark – Lighted,Clear,1,0,2015-10-23 22:47:00+00:00,0,38.01247222,-121.8331
29515,Texas,141,2190,17,2,10,Daylight,Clear,1,0,2015-10-02 17:31:00+00:00,1,31.78173056,-106.39286111
29516,California,13,508,3,26,3,Dark – Not Lighted,Clear,1,0,2015-03-26 03:55:00+00:00,0,37.85813056,-121.63001111
29517,California,85,1420,12,2,6,Daylight,Clear,1,0,2015-06-02 12:27:00+00:00,0,37.024325,-121.5617
29518,California,37,3870,12,21,1,Daylight,Clear,1,1,2015-01-21 12:01:00+00:00,0,33.827275,-118.37075
29519,Texas,439,2450,21,9,7,Dark – Lighted,Clear,1,0,2015-07-09 21:25:00+00:00,0,32.61187778,-97.36514167
29520,Illinois,31,1670,0,31,1,Dark – Lighted,Clear,1,1,2015-01-31 00:47:00+00:00,0,41.69226111,-87.64984444
29521,Ohio,49,1800,1,17,1,Dark – Lighted,Clear,1,1,2015-01-17 01:56:00+00:00,0,40.03253889,-82.97790556
29522,Pennsylvania,91,0,10,11,8,Daylight,Clear,1,0,2015-08-11 10:46:00+00:00,0,40.00583333,-75.23419722
29523,Ohio,37,0,21,1,8,Dark – Not Lighted,Clear,1,1,2015-08-01 21:54:00+00:00,0,39.97168056,-84.72305278
29524,New York,103,3103,13,17,3,Daylight,Clear,1,1,2015-03-17 13:37:00+00:00,0,40.83854444,-73.11184722
